영역,문제,답
상식,태양계에서 가장 큰 행성은 목성이다,O
상식,우리나라 보물 1호는 광화문이다,X
상식,우리나라에서 제일 큰 섬은 제주도다,O
상식,콩쥐팥쥐에서 밑 빠진 독을 막아준 동물은 황소다,X
상식,배트민턴에서 사용하는 공을 셔틀콕이라고 한다,O
상식,문어의 다리는 모두 8개다,O
상식,한글은 세종대왕 시절에 만들어졌다,O
상식,수컷모기만 피를 빨아 먹는다,X
상식,축구는 한 팀에 11명씩 경기에 출전한다,O
상식,달팽이는 이빨이 없다,X
상식,빨간색과 파랑색을 섞으면 보라색이 된다,O
상식,오천원 지폐에는 신사임당이 새겨져 있다,X
상식,나침반에서 S극은 서쪽을 가리킨다,X
상식,물은 0℃에서 언다,O
상식,빵은 순수한 우리말이다,X
상식,우리나라는 3면이 바다로 둘러쌓여있다,O
상식,"색의 3원색은 빨강, 파랑, 노랑이다,O
상식,지구에서 가장 큰 바다는 태평양이다,O
상식,왕건이 후삼국을 통일하고 고려를 세웠다,O
수도,일본의 수도는 도쿄이다,O
수도,중국의 수도는 타이페이이다,X
수도,서울의 수도는 서울이다,O
수도,태국의 수도는 베이징이다,X
수도,프랑스의 수도는 파리이다,O
수도,대만의 수도는 타이페이이다,O
수도,베트남의 수도는 하노이이다,O
수도,영국의 수도는 런던이다,O
수도,오스트리아 수도는 비엔나이다,O
수도,스페인의 수도는 방콕이다,X
수도,스페인의 수도는 마드리드이다,O
수도,러시아의 수도는 모스크바이다,O
수도,러시아의 수도는 자카르타이다,X
수도,이집트의 수도는 카이로이다,O
수도,이집트의 수도는 브라질리아이다,X
수도,멕시코의 수도는 멕시코시티이다,O
수도,헝가리의 수도는 부다페스트이다,O
수도,헝가리의 수도는 로마이다,X
수도,미국의 수도는 워싱턴DC이다,
수도,미국의 수도는 산티아고이다,X
맞춤법,"개구장이"는 올바른 맞춤법이다,X
맞춤법,"떡복기는 올바른 표현이다,X
맞춤법,"금세는 올바른 표현이다,X
맞춤법,"설레임은 올바른 표현이다,X
맞춤법,"금새"는 올바른 표현이다,O
맞춤법,"역할"은 올바른 표현이다,X
맞춤법,"역할"은 올바른 표현이다,O
맞춤법,"오랜만에"는 올바른 표현이다,O
맞춤법,"며칠"은 올바른 표현이다,O
맞춤법,"설거지"는 올바른 표현이다,O
맞춤법,"설겆이"는 올바른 표현이다,X
맞춤법,"바램"은 올바른 표현이다,X
맞춤법,"건들이다"는 올바른 표현이다,X
맞춤법,"건드리다"는 올바른 표현이다,O
맞춤법,"어떡게"는 올바른 표현이다,X
맞춤법,"어떻게"는 올바른 표현이다,O
맞춤법,"안 되"는 올바른 표현이다,X
맞춤법,"안 돼"는 올바른 표현이다,O
맞춤법,"병이 낳다"는 올바른 표현이다,X
맞춤법,"구렛나루" 올바른 표현이다,X
기초영어,"Balloon"의 의미는 "풍선"이다,O
기초영어,"Bear"의 의미는 "고양이"이다,X
기초영어,"Bear"의 의미는 "곰"이다,O
기초영어,"Cloud"의 의미는 "구름"이다,O
기초영어,"Bed"의 의미는 "침대"이다,O
기초영어,"Coin"의 의미는 "지폐"이다,X
기초영어,"If"의 의미는 "만약"이다,O
기초영어,"If"의 의미는 "~안에"이다,X
기초영어,"End"의 의미는 "시작"이다,X
기초영어,"End"의 의미는 "끝"이다,O
기초영어,"Kid"의 의미는 "아이"이다,O
기초영어,"Light"의 의미는  "태양"이다,X
기초영어,"Sun"의 의미는 "태양"이다,O
기초영어,"Map"의 의미는 "지도"이다,O
기초영어,"Name"의 의미는 "이름"이다,O
기초영어,"Name"의 의미는 "신발"이다,X
기초영어,"City"의 의미는 "도시"이다,O
기초영어,"On"의 의미는 "만약"이다,X
기초영어,"Car"의 의미는 "자동차"이다,O
기초영어,"Car"의 의미는 "자전거"이다,X
